-- cid, salutation, first_name, last_name, credit_card_num, credit_card_expire, street, city, state, phone, email --
'Mr', 'Richard', 'Lloyd', '7836483301113682', to_date('09/23', 'MM/YY'), '315 Friendship Lane', 'Boston', 'MA', '0181388379', '400@pitt.edu', 
'Mr', 'Max', 'Wright', '9789497405335372', to_date('06/17', 'MM/YY'), '111 McKee Street', 'Philadelphia', 'PA', '6010497654', '563@pitt.edu', 
'Mr', 'Grant', 'Wagner', '2134625703088938', to_date('02/16', 'MM/YY'), '972 Craig Street', 'Chicago', 'IL', '7839035124', '564@pitt.edu', 
'Ms', 'Susan', 'Thompson', '0946252311800241', to_date('03/24', 'MM/YY'), '307 Coltart Ave', 'Harrisburg', 'PA', '2248478118', '565@pitt.edu', 
'Ms', 'Selina', 'Brown', '4576002905659076', to_date('04/25', 'MM/YY'), '543 Oakland Avenue', 'Albany', 'NY', '4822298884', '566@pitt.edu', 
'Ms', 'Jan', 'Brand', '1064248238391700', to_date('08/16', 'MM/YY'), '914 West Avenue', 'Philadelphia', 'PA', '3046923329', '567@pitt.edu', 
'Ms', 'Susan', 'Wagner', '2065734193358345', to_date('02/19', 'MM/YY'), '130 Craig Street', 'Harrisburg', 'PA', '8576332356', '568@pitt.edu', 
'Mr', 'Kent', 'Thompson', '1816638632267796', to_date('03/22', 'MM/YY'), '313 Coltart Ave', 'Houston', 'TX', '0256332898', '569@pitt.edu', 
'Mr', 'Peter', 'Dent', '0118883468748966', to_date('08/20', 'MM/YY'), '647 Farm Lane', 'Honolulu', 'HI', '3966028542', '570@pitt.edu', 
'Mrs', 'Emma', 'Dent', '8475551159272040', to_date('08/23', 'MM/YY'), '572 Farm Lane', 'Des Moines', 'IA', '9413803634', '571@pitt.edu', 
'Mr', 'Charles', 'Kent', '6028458173406986', to_date('03/22', 'MM/YY'), '569 Memory Lane', 'Billings', 'MT', '4792852369', '572@pitt.edu', 
'Mrs', 'Rita', 'Cannon', '3220495941627010', to_date('04/18', 'MM/YY'), '506 Kenyon Trail', 'Chicago', 'IL', '2264961855', '573@pitt.edu', 
'Mr', 'Charles', 'Kent', '8969373366571717', to_date('03/21', 'MM/YY'), '383 Memory Lane', 'Billings', 'MT', '3880020246', '574@pitt.edu', 
'Mr', 'Kent', 'Wright', '3158886290623826', to_date('06/23', 'MM/YY'), '547 McKee Street', 'Houston', 'TX', '7694074821', '575@pitt.edu', 
'Mr', 'Will', 'Jordan', '0385386877248192', to_date('02/16', 'MM/YY'), '864 Walnut Street', 'Harrisburg', 'PA', '8590835924', '576@pitt.edu', 
'Mr', 'Michael', 'Allen', '6677576527080825', to_date('01/21', 'MM/YY'), '326 New School Lane', 'Providence', 'RI', '9463928231', '577@pitt.edu', 
'Mr', 'Michael', 'Brand', '7597860793871933', to_date('08/19', 'MM/YY'), '535 West Avenue', 'Providence', 'RI', '0910694204', '578@pitt.edu', 
'Mrs', 'Cassie', 'Cannon', '0336563911241710', to_date('04/21', 'MM/YY'), '703 Kenyon Trail', 'Honolulu', 'HI', '0840681228', '579@pitt.edu', 
'Mr', 'Charles', 'Tuft', '2301565978870876', to_date('06/23', 'MM/YY'), '131 Swanson Street', 'Billings', 'MT', '0699474738', '580@pitt.edu', 
'Ms', 'Breanna', 'Jordan', '6848648807060005', to_date('02/17', 'MM/YY'), '070 Walnut Street', 'Anchorage', 'AK', '3773588444', '581@pitt.edu', 
'Mr', 'Bruce', 'Stevens', '9709037790166949', to_date('10/23', 'MM/YY'), '338 Forbes Avenue', 'Pittsburgh', 'PA', '2662755320', '582@pitt.edu', 
'Mrs', 'Penelope', 'Kent', '3088081894673006', to_date('03/19', 'MM/YY'), '799 Memory Lane', 'Billings', 'MT', '8890358638', '583@pitt.edu', 
'Mr', 'Bruce', 'Brown', '6044205304580704', to_date('04/25', 'MM/YY'), '758 Oakland Avenue', 'Pittsburgh', 'PA', '5637644712', '584@pitt.edu', 
'Mr', 'Bruce', 'Allen', '9415198398686034', to_date('01/21', 'MM/YY'), '904 New School Lane', 'Pittsburgh', 'PA', '3188794806', '585@pitt.edu', 
'Ms', 'Susan', 'Lloyd', '7203949745849515', to_date('09/25', 'MM/YY'), '058 Friendship Lane', 'Harrisburg', 'PA', '9326040676', '586@pitt.edu', 
'Mrs', 'Beth', 'Wagner', '6999425431359655', to_date('02/23', 'MM/YY'), '255 Craig Street', 'Indianapolis', 'IA', '8250515807', '587@pitt.edu', 
'Ms', 'Lynn', 'Tuft', '6264276241124320', to_date('06/24', 'MM/YY'), '905 Swanson Street', 'New Orleans', 'LA', '5417563340', '588@pitt.edu', 
'Mrs', 'Beth', 'Stevens', '1975360400478632', to_date('10/22', 'MM/YY'), '702 Forbes Avenue', 'Indianapolis', 'IA', '3728923619', '589@pitt.edu', 
'Ms', 'Kathy', 'Lloyd', '5164133209663055', to_date('09/19', 'MM/YY'), '823 Friendship Lane', 'York', 'PA', '6813569457', '590@pitt.edu', 
'Mrs', 'Jessica', 'Tuft', '8949776791652444', to_date('06/19', 'MM/YY'), '347 Swanson Street', 'Atlanta', 'GA', '8078852259', '591@pitt.edu', 
'Mr', 'Peter', 'Wayne', '0016511182783118', to_date('01/16', 'MM/YY'), '393 Main Street', 'Honolulu', 'HI', '9988100144', '592@pitt.edu', 
'Mrs', 'Melissa', 'Stevens', '8142988110113351', to_date('10/17', 'MM/YY'), '125 Forbes Avenue', 'Los Angeles', 'CA', '5493224338', '593@pitt.edu', 
'Mrs', 'Rita', 'Jordan', '8481157534703031', to_date('02/25', 'MM/YY'), '438 Walnut Street', 'Chicago', 'IL', '1954688084', '594@pitt.edu', 
'Mr', 'Jared', 'Wayne', '8375649688916854', to_date('01/20', 'MM/YY'), '880 Main Street', 'Tallahassee', 'FL', '4084206010', '595@pitt.edu', 
'Ms', 'Anna', 'Wayne', '7925952308133782', to_date('01/21', 'MM/YY'), '900 Main Street', 'Boston', 'MA', '9776115685', '596@pitt.edu', 
'Ms', 'Selina', 'Dent', '3932953978587406', to_date('08/18', 'MM/YY'), '006 Farm Lane', 'Albany', 'NY', '9922912733', '597@pitt.edu', 
'Mrs', 'Martha', 'Mann', '4811166284571598', to_date('05/18', 'MM/YY'), '410 Orchard Circle', 'Columbus', 'OH', '0983850693', '598@pitt.edu', 
'Mrs', 'Anna', 'Mann', '2004687075395764', to_date('05/16', 'MM/YY'), '986 Orchard Circle', 'Boston', 'MA', '8977575785', '599@pitt.edu', 
'Mr', 'Victor', 'Dent', '0230986507176689', to_date('08/25', 'MM/YY'), '694 Farm Lane', 'Albany', 'NY', '8765107326', '600@pitt.edu', 
'Ms', 'Lynn', 'Dent', '8721995883872579', to_date('08/16', 'MM/YY'), '069 Farm Lane', 'New Orleans', 'LA', '5428845831', '601@pitt.edu', 
'Ms', 'Courtney', 'Dent', '7480841882485723', to_date('08/23', 'MM/YY'), '974 Farm Lane', 'Hershey', 'PA', '4871530612', '602@pitt.edu', 
'Mr', 'Peter', 'Dent', '6939643219344371', to_date('08/21', 'MM/YY'), '885 Farm Lane', 'Honolulu', 'HI', '3649212051', '603@pitt.edu', 
'Mrs', 'Breanna', 'Lloyd', '3672686751377588', to_date('09/22', 'MM/YY'), '864 Friendship Lane', 'Anchorage', 'AK', '7662803941', '604@pitt.edu', 
'Mr', 'Kent', 'Jones', '4812100700472615', to_date('12/20', 'MM/YY'), '157 Cherry Street', 'Houston', 'TX', '3122877083', '605@pitt.edu', 
'Mrs', 'Beth', 'Reilly', '5917793824935979', to_date('11/18', 'MM/YY'), '191 Fifth Avenue', 'Indianapolis', 'IA', '4390117892', '606@pitt.edu', 
'Ms', 'Anna', 'Brand', '3080247988353153', to_date('08/25', 'MM/YY'), '007 West Avenue', 'Boston', 'MA', '0861779194', '607@pitt.edu', 
'Mr', 'Jesse', 'Freeman', '5121652265719568', to_date('07/24', 'MM/YY'), '194 Pine Road', 'New Orleans', 'LA', '8753944602', '608@pitt.edu', 
'Mrs', 'Courtney', 'Thompson', '1608097879608742', to_date('03/19', 'MM/YY'), '508 Coltart Ave', 'Hershey', 'PA', '0280473849', '609@pitt.edu', 
'Mr', 'Max', 'Reilly', '7041468542463039', to_date('11/16', 'MM/YY'), '585 Fifth Avenue', 'Philadelphia', 'PA', '8464782173', '610@pitt.edu', 
'Ms', 'Beth', 'Brand', '4260686402833172', to_date('08/22', 'MM/YY'), '895 West Avenue', 'Indianapolis', 'IA', '7131889426', '611@pitt.edu', 
'Mr', 'Grant', 'Wagner', '8620401974499983', to_date('02/20', 'MM/YY'), '369 Craig Street', 'Chicago', 'IL', '5317233471', '612@pitt.edu', 
'Mr', 'Patrick', 'Jordan', '9049102763327644', to_date('02/18', 'MM/YY'), '528 Walnut Street', 'Los Angeles', 'CA', '1388064188', '613@pitt.edu', 
'Mr', 'Richard', 'Cannon', '7375615834904991', to_date('04/21', 'MM/YY'), '991 Kenyon Trail', 'Boston', 'MA', '7765813472', '614@pitt.edu', 
'Mrs', 'Rita', 'Wagner', '3437781468184110', to_date('02/18', 'MM/YY'), '347 Craig Street', 'Chicago', 'IL', '8839228576', '615@pitt.edu', 
'Mrs', 'Emma', 'Roosevelt', '3338590982862909', to_date('07/23', 'MM/YY'), '333 Cathedral Road', 'Des Moines', 'IA', '6105441006', '616@pitt.edu', 
'Mr', 'Wyatt', 'Cannon', '1304151552530045', to_date('04/16', 'MM/YY'), '249 Kenyon Trail', 'Atlanta', 'GA', '9454765421', '617@pitt.edu', 
'Mr', 'Wyatt', 'Freeman', '5392153915139931', to_date('07/20', 'MM/YY'), '152 Pine Road', 'Atlanta', 'GA', '2414493442', '618@pitt.edu', 
'Ms', 'Martha', 'Wayne', '1832410041148860', to_date('01/17', 'MM/YY'), '486 Main Street', 'Columbus', 'OH', '8523227074', '619@pitt.edu', 
'Ms', 'Kathy', 'Wayne', '4171483676909536', to_date('01/21', 'MM/YY'), '914 Main Street', 'York', 'PA', '4289938410', '620@pitt.edu', 
'Mr', 'Max', 'Tuft', '9795693675570651', to_date('06/17', 'MM/YY'), '791 Swanson Street', 'Philadelphia', 'PA', '6489985042', '621@pitt.edu', 
'Mr', 'Michael', 'Misuraca', '9649028682678790', to_date('05/25', 'MM/YY'), '765 Yuletide Road', 'Providence', 'RI', '5835123299', '622@pitt.edu', 
'Ms', 'Susan', 'Brand', '8399325999134367', to_date('08/22', 'MM/YY'), '574 West Avenue', 'Harrisburg', 'PA', '3018246319', '623@pitt.edu', 
'Mrs', 'Breanna', 'Roosevelt', '3563208468846961', to_date('07/17', 'MM/YY'), '757 Cathedral Road', 'Anchorage', 'AK', '0243286506', '624@pitt.edu', 
'Mrs', 'Rita', 'Tuft', '8972324908147995', to_date('06/17', 'MM/YY'), '840 Swanson Street', 'Chicago', 'IL', '7650811978', '625@pitt.edu', 
'Mr', 'Tom', 'Kent', '5713129874798775', to_date('03/22', 'MM/YY'), '368 Memory Lane', 'Hershey', 'PA', '5346440480', '626@pitt.edu', 
'Ms', 'Susan', 'Mann', '3335909490790350', to_date('05/16', 'MM/YY'), '403 Orchard Circle', 'Harrisburg', 'PA', '3211912047', '627@pitt.edu', 
'Mrs', 'Beth', 'Misuraca', '7542806023419429', to_date('05/18', 'MM/YY'), '634 Yuletide Road', 'Indianapolis', 'IA', '1126039401', '628@pitt.edu', 
'Mrs', 'Rita', 'Reilly', '2227156681304495', to_date('11/22', 'MM/YY'), '914 Fifth Avenue', 'Chicago', 'IL', '6499317041', '629@pitt.edu', 
'Mrs', 'Selina', 'Freeman', '6852995298685751', to_date('07/18', 'MM/YY'), '742 Pine Road', 'Albany', 'NY', '2461489436', '630@pitt.edu', 
'Mr', 'Kent', 'Brand', '5282191562597283', to_date('08/16', 'MM/YY'), '583 West Avenue', 'Houston', 'TX', '3815202254', '631@pitt.edu', 
'Ms', 'Susan', 'Wagner', '6092283937697684', to_date('02/17', 'MM/YY'), '978 Craig Street', 'Harrisburg', 'PA', '3580888917', '632@pitt.edu', 
'Mr', 'Charles', 'Kent', '9255720954262691', to_date('03/22', 'MM/YY'), '144 Memory Lane', 'Billings', 'MT', '3922474564', '633@pitt.edu', 
'Mrs', 'Annie', 'Reilly', '8084707221117118', to_date('11/17', 'MM/YY'), '895 Fifth Avenue', 'Providence', 'RI', '6700986393', '634@pitt.edu', 
'Ms', 'Annie', 'Dent', '6061875626616699', to_date('08/25', 'MM/YY'), '975 Farm Lane', 'Providence', 'RI', '6991434213', '635@pitt.edu', 
'Ms', 'Selina', 'Brown', '3063938785170137', to_date('04/22', 'MM/YY'), '404 Oakland Avenue', 'Albany', 'NY', '6270982681', '636@pitt.edu', 
'Mrs', 'Melissa', 'Wayne', '9183277502901110', to_date('01/24', 'MM/YY'), '688 Main Street', 'Los Angeles', 'CA', '3225531672', '637@pitt.edu', 
'Ms', 'Jessica', 'Jordan', '5140865666423030', to_date('02/18', 'MM/YY'), '130 Walnut Street', 'Atlanta', 'GA', '3340042579', '638@pitt.edu', 
'Mr', 'Grant', 'Dent', '7032031028646317', to_date('08/24', 'MM/YY'), '017 Farm Lane', 'Chicago', 'IL', '5514776049', '639@pitt.edu', 
'Mrs', 'Martha', 'Jones', '2373047179825977', to_date('12/16', 'MM/YY'), '500 Cherry Street', 'Columbus', 'OH', '9980141280', '640@pitt.edu', 
'Ms', 'Emma', 'Mann', '5496658020234176', to_date('05/24', 'MM/YY'), '008 Orchard Circle', 'Des Moines', 'IA', '8598509001', '641@pitt.edu', 
'Mr', 'Charles', 'Lloyd', '1950654581150068', to_date('09/25', 'MM/YY'), '648 Friendship Lane', 'Billings', 'MT', '1705640169', '642@pitt.edu', 
'Mr', 'Michael', 'Roosevelt', '9231979808812113', to_date('07/16', 'MM/YY'), '037 Cathedral Road', 'Providence', 'RI', '0426274408', '643@pitt.edu', 
'Ms', 'Cindy', 'Lloyd', '6278711457091131', to_date('09/22', 'MM/YY'), '697 Friendship Lane', 'Houston', 'TX', '6178456060', '644@pitt.edu', 
'Mr', 'Michael', 'Allen', '5981873451696465', to_date('01/20', 'MM/YY'), '864 New School Lane', 'Providence', 'RI', '6197790478', '645@pitt.edu', 
'Mr', 'Adam', 'Cannon', '6570429844748569', to_date('04/17', 'MM/YY'), '734 Kenyon Trail', 'Columbus', 'OH', '6483322436', '646@pitt.edu', 
'Mr', 'Wyatt', 'Lloyd', '7807545335772978', to_date('09/16', 'MM/YY'), '516 Friendship Lane', 'Atlanta', 'GA', '1277257665', '647@pitt.edu', 
'Mr', 'Matt', 'Cannon', '9902784449351352', to_date('04/21', 'MM/YY'), '024 Kenyon Trail', 'Des Moines', 'IA', '5160403041', '648@pitt.edu', 
'Mr', 'Wyatt', 'Kent', '3924642744428777', to_date('03/19', 'MM/YY'), '192 Memory Lane', 'Atlanta', 'GA', '7333166789', '649@pitt.edu', 
'Mr', 'Matt', 'Stevens', '0369600452607904', to_date('10/16', 'MM/YY'), '639 Forbes Avenue', 'Des Moines', 'IA', '9054502386', '650@pitt.edu', 
'Mr', 'Patrick', 'Tuft', '6170303774257925', to_date('06/24', 'MM/YY'), '208 Swanson Street', 'Los Angeles', 'CA', '2098330778', '651@pitt.edu', 
'Mrs', 'Jan', 'Wright', '6556972726072777', to_date('06/23', 'MM/YY'), '236 McKee Street', 'Philadelphia', 'PA', '2575140036', '652@pitt.edu', 
'Mr', 'Kent', 'Jordan', '5232218998446384', to_date('02/24', 'MM/YY'), '984 Walnut Street', 'Houston', 'TX', '3898933487', '653@pitt.edu', 
'Mr', 'Max', 'Stevens', '0733725579318607', to_date('10/19', 'MM/YY'), '811 Forbes Avenue', 'Philadelphia', 'PA', '4327255558', '654@pitt.edu', 
'Mr', 'Scott', 'Allen', '5415726692952100', to_date('01/16', 'MM/YY'), '047 New School Lane', 'Indianapolis', 'IA', '9649127088', '655@pitt.edu', 
'Mr', 'Richard', 'Freeman', '3703114190563289', to_date('07/17', 'MM/YY'), '276 Pine Road', 'Boston', 'MA', '3746830853', '656@pitt.edu', 
'Mrs', 'Kathy', 'Wagner', '1788961166268136', to_date('02/23', 'MM/YY'), '909 Craig Street', 'York', 'PA', '9822688977', '657@pitt.edu', 
'Ms', 'Andrea', 'Dent', '0582628450354618', to_date('08/18', 'MM/YY'), '927 Farm Lane', 'Tallahassee', 'FL', '8459996068', '658@pitt.edu', 
'Mrs', 'Selena', 'Reilly', '3736476763873200', to_date('11/17', 'MM/YY'), '499 Fifth Avenue', 'Pittsburgh', 'PA', '4098949095', '659@pitt.edu', 
'Ms', 'Selena', 'Tuft', '9736060188140890', to_date('06/18', 'MM/YY'), '625 Swanson Street', 'Pittsburgh', 'PA', '3825922928', '660@pitt.edu', 
'Mr', 'Patrick', 'Stevens', '8231508768138346', to_date('10/24', 'MM/YY'), '428 Forbes Avenue', 'Los Angeles', 'CA', '9455779363', '661@pitt.edu', 
'Mr', 'Charles', 'Jones', '2694305336330808', to_date('12/16', 'MM/YY'), '882 Cherry Street', 'Billings', 'MT', '4120063977', '662@pitt.edu', 
'Mr', 'Bruce', 'Kent', '5215668503184638', to_date('03/20', 'MM/YY'), '880 Memory Lane', 'Pittsburgh', 'PA', '6776626131', '663@pitt.edu', 
'Mrs', 'Emma', 'Allen', '1185941447821145', to_date('01/20', 'MM/YY'), '340 New School Lane', 'Des Moines', 'IA', '4571334906', '664@pitt.edu', 
'Mrs', 'Courtney', 'Allen', '9356010564720155', to_date('01/16', 'MM/YY'), '260 New School Lane', 'Hershey', 'PA', '2036106003', '665@pitt.edu', 
'Mr', 'Peter', 'Stevens', '8141457663126173', to_date('10/19', 'MM/YY'), '227 Forbes Avenue', 'Honolulu', 'HI', '9968968770', '666@pitt.edu', 
'Mr', 'Peter', 'Wayne', '1142695892030519', to_date('01/17', 'MM/YY'), '531 Main Street', 'Honolulu', 'HI', '5110965678', '667@pitt.edu', 
'Mrs', 'Selena', 'Roosevelt', '7998974229314222', to_date('07/24', 'MM/YY'), '937 Cathedral Road', 'Pittsburgh', 'PA', '2193351482', '668@pitt.edu', 
'Mr', 'Scott', 'Wright', '9276765208141450', to_date('06/21', 'MM/YY'), '270 McKee Street', 'Indianapolis', 'IA', '9052279086', '669@pitt.edu', 
'Ms', 'Jessica', 'Brand', '8924315757712438', to_date('08/16', 'MM/YY'), '293 West Avenue', 'Atlanta', 'GA', '5672868212', '670@pitt.edu', 
'Mrs', 'Beth', 'Wagner', '6184111806863900', to_date('02/20', 'MM/YY'), '595 Craig Street', 'Indianapolis', 'IA', '8106467319', '671@pitt.edu', 
'Mr', 'Patrick', 'Allen', '4828559068399177', to_date('01/19', 'MM/YY'), '799 New School Lane', 'Los Angeles', 'CA', '4219965630', '672@pitt.edu', 
'Ms', 'Breanna', 'Jordan', '9871943934731205', to_date('02/17', 'MM/YY'), '420 Walnut Street', 'Anchorage', 'AK', '1650327787', '673@pitt.edu', 
'Mr', 'Patrick', 'Misuraca', '0310578502769046', to_date('05/18', 'MM/YY'), '490 Yuletide Road', 'Los Angeles', 'CA', '2878227603', '674@pitt.edu', 
'Mr', 'Max', 'Jordan', '2531977184431556', to_date('02/16', 'MM/YY'), '807 Walnut Street', 'Philadelphia', 'PA', '9260318123', '675@pitt.edu', 
'Mr', 'Grant', 'Freeman', '6537578453240434', to_date('07/18', 'MM/YY'), '736 Pine Road', 'Chicago', 'IL', '8842775585', '676@pitt.edu', 
'Mr', 'Charles', 'Brand', '3486669165802436', to_date('08/24', 'MM/YY'), '983 West Avenue', 'Billings', 'MT', '4109229719', '677@pitt.edu', 
'Mrs', 'Martha', 'Stevens', '1082723949030537', to_date('10/16', 'MM/YY'), '176 Forbes Avenue', 'Columbus', 'OH', '4500589459', '678@pitt.edu', 
'Mr', 'Jared', 'Wagner', '1498271693293449', to_date('02/20', 'MM/YY'), '670 Craig Street', 'Tallahassee', 'FL', '7610522577', '679@pitt.edu', 
'Ms', 'Breanna', 'Mann', '8099516936973698', to_date('05/21', 'MM/YY'), '965 Orchard Circle', 'Anchorage', 'AK', '3262420303', '680@pitt.edu', 
'Mr', 'Jesse', 'Roosevelt', '1326005253425875', to_date('07/22', 'MM/YY'), '502 Cathedral Road', 'New Orleans', 'LA', '7694899112', '681@pitt.edu', 
'Ms', 'Kathy', 'Thompson', '1036438356882910', to_date('03/22', 'MM/YY'), '651 Coltart Ave', 'York', 'PA', '2659345556', '682@pitt.edu', 
'Ms', 'Annie', 'Wagner', '0438459832737214', to_date('02/22', 'MM/YY'), '954 Craig Street', 'Providence', 'RI', '1539463821', '683@pitt.edu', 
'Mr', 'Richard', 'Wagner', '3140695346888891', to_date('02/22', 'MM/YY'), '992 Craig Street', 'Boston', 'MA', '9367588547', '684@pitt.edu', 
'Mr', 'Clark', 'Thompson', '1794402203556377', to_date('03/24', 'MM/YY'), '152 Coltart Ave', 'Anchorage', 'AK', '1851560968', '685@pitt.edu', 
'Ms', 'Selena', 'Brown', '6821744569806091', to_date('04/21', 'MM/YY'), '048 Oakland Avenue', 'Pittsburgh', 'PA', '0506923151', '686@pitt.edu', 
'Mr', 'Max', 'Reilly', '6521546313367642', to_date('11/24', 'MM/YY'), '064 Fifth Avenue', 'Philadelphia', 'PA', '1284940694', '687@pitt.edu', 
'Mrs', 'Beth', 'Cannon', '4758465435968284', to_date('04/18', 'MM/YY'), '174 Kenyon Trail', 'Indianapolis', 'IA', '7802649229', '688@pitt.edu', 
'Ms', 'Breanna', 'Tuft', '8859936110065267', to_date('06/25', 'MM/YY'), '329 Swanson Street', 'Anchorage', 'AK', '2418201255', '689@pitt.edu', 
'Mr', 'Charles', 'Wright', '5990017848760527', to_date('06/23', 'MM/YY'), '059 McKee Street', 'Billings', 'MT', '7980796003', '690@pitt.edu', 
'Mr', 'Larry', 'Stevens', '1720699869379145', to_date('10/20', 'MM/YY'), '655 Forbes Avenue', 'York', 'PA', '0984841367', '691@pitt.edu', 
'Mrs', 'Jessica', 'Brown', '7554170744112926', to_date('04/21', 'MM/YY'), '809 Oakland Avenue', 'Atlanta', 'GA', '6305205532', '692@pitt.edu', 
'Mr', 'Wyatt', 'Roosevelt', '5064853708862892', to_date('07/23', 'MM/YY'), '325 Cathedral Road', 'Atlanta', 'GA', '4890825032', '693@pitt.edu', 
'Mr', 'Grant', 'Wagner', '5985478075968712', to_date('02/24', 'MM/YY'), '679 Craig Street', 'Chicago', 'IL', '3311457100', '694@pitt.edu', 
'Mr', 'Peter', 'Brown', '8390083129983849', to_date('04/25', 'MM/YY'), '376 Oakland Avenue', 'Honolulu', 'HI', '4373514381', '695@pitt.edu', 
'Mrs', 'Selina', 'Misuraca', '2412555049136751', to_date('05/21', 'MM/YY'), '504 Yuletide Road', 'Albany', 'NY', '9855269162', '696@pitt.edu', 
'Mr', 'Bruce', 'Tuft', '0460109612630163', to_date('06/22', 'MM/YY'), '252 Swanson Street', 'Pittsburgh', 'PA', '2123565168', '697@pitt.edu', 
'Mr', 'Bruce', 'Dent', '3277829592377636', to_date('08/20', 'MM/YY'), '067 Farm Lane', 'Pittsburgh', 'PA', '3540617781', '698@pitt.edu', 
'Mrs', 'Selina', 'Tuft', '5648442757534309', to_date('06/21', 'MM/YY'), '611 Swanson Street', 'Albany', 'NY', '1995718657', '699@pitt.edu', 
'Mr', 'Tom', 'Jordan', '9179274424112927', to_date('02/21', 'MM/YY'), '394 Walnut Street', 'Hershey', 'PA', '6065244348', '700@pitt.edu', 
'Mr', 'Michael', 'Thompson', '6362933627891401', to_date('03/24', 'MM/YY'), '462 Coltart Ave', 'Providence', 'RI', '1550191751', '701@pitt.edu', 
'Mr', 'Michael', 'Wayne', '5233463814923818', to_date('01/19', 'MM/YY'), '346 Main Street', 'Providence', 'RI', '5956910606', '702@pitt.edu', 
'Mr', 'Scott', 'Jordan', '8038863421715909', to_date('02/16', 'MM/YY'), '774 Walnut Street', 'Indianapolis', 'IA', '3260991603', '703@pitt.edu', 
'Mr', 'Bruce', 'Tuft', '4484866698030995', to_date('06/23', 'MM/YY'), '586 Swanson Street', 'Pittsburgh', 'PA', '9777276885', '704@pitt.edu', 
'Mr', 'Grant', 'Allen', '7975765917663585', to_date('01/25', 'MM/YY'), '263 New School Lane', 'Chicago', 'IL', '5532362097', '705@pitt.edu', 
'Mr', 'Richard', 'Reilly', '3615621881227763', to_date('11/22', 'MM/YY'), '261 Fifth Avenue', 'Boston', 'MA', '9946458080', '706@pitt.edu', 
'Ms', 'Selina', 'Misuraca', '9532557943362256', to_date('05/16', 'MM/YY'), '900 Yuletide Road', 'Albany', 'NY', '8859975107', '707@pitt.edu', 
'Mr', 'Wyatt', 'Brand', '2138226124606425', to_date('08/17', 'MM/YY'), '386 West Avenue', 'Atlanta', 'GA', '1277960720', '708@pitt.edu', 
'Mr', 'Will', 'Wright', '5176269544954697', to_date('06/22', 'MM/YY'), '236 McKee Street', 'Harrisburg', 'PA', '3844342346', '709@pitt.edu', 
'Mr', 'Adam', 'Stevens', '0347377440843200', to_date('10/24', 'MM/YY'), '628 Forbes Avenue', 'Columbus', 'OH', '4893624745', '710@pitt.edu', 
'Ms', 'Jessica', 'Reilly', '6695238047274712', to_date('11/16', 'MM/YY'), '593 Fifth Avenue', 'Atlanta', 'GA', '8885221071', '711@pitt.edu', 
'Mr', 'Charles', 'Reilly', '8913074427071019', to_date('11/16', 'MM/YY'), '904 Fifth Avenue', 'Billings', 'MT', '7074721854', '712@pitt.edu', 
'Mr', 'Kent', 'Brand', '2465360003558216', to_date('08/21', 'MM/YY'), '881 West Avenue', 'Houston', 'TX', '4541130561', '713@pitt.edu', 
'Ms', 'Kathy', 'Mann', '5105898218679785', to_date('05/17', 'MM/YY'), '399 Orchard Circle', 'York', 'PA', '7554425239', '714@pitt.edu', 
'Mr', 'Jesse', 'Jones', '6542190273332696', to_date('12/23', 'MM/YY'), '382 Cherry Street', 'New Orleans', 'LA', '7946325231', '715@pitt.edu', 
'Ms', 'Kathy', 'Roosevelt', '8811494813904513', to_date('07/21', 'MM/YY'), '012 Cathedral Road', 'York', 'PA', '6787860693', '716@pitt.edu', 
'Mrs', 'Anna', 'Roosevelt', '3408693851359960', to_date('07/20', 'MM/YY'), '376 Cathedral Road', 'Boston', 'MA', '2945796204', '717@pitt.edu', 
'Mr', 'Jared', 'Tuft', '6543469530906418', to_date('06/19', 'MM/YY'), '060 Swanson Street', 'Tallahassee', 'FL', '9601313549', '718@pitt.edu', 
'Mr', 'Adam', 'Wayne', '1739988587231537', to_date('01/21', 'MM/YY'), '564 Main Street', 'Columbus', 'OH', '0960994652', '719@pitt.edu', 
'Ms', 'Kathy', 'Freeman', '6801229513582892', to_date('07/17', 'MM/YY'), '430 Pine Road', 'York', 'PA', '6093572202', '720@pitt.edu', 
'Ms', 'Penelope', 'Tuft', '6715942191759663', to_date('06/25', 'MM/YY'), '425 Swanson Street', 'Billings', 'MT', '4196616895', '721@pitt.edu', 
'Ms', 'Jessica', 'Dent', '4332901078009698', to_date('08/19', 'MM/YY'), '011 Farm Lane', 'Atlanta', 'GA', '0974241325', '722@pitt.edu', 
'Mr', 'Charles', 'Freeman', '6519467859505835', to_date('07/21', 'MM/YY'), '634 Pine Road', 'Billings', 'MT', '1671623201', '723@pitt.edu', 
'Mrs', 'Selena', 'Brand', '3988240374052079', to_date('08/20', 'MM/YY'), '352 West Avenue', 'Pittsburgh', 'PA', '7929223138', '724@pitt.edu', 
'Mr', 'Will', 'Allen', '4609878642066710', to_date('01/24', 'MM/YY'), '572 New School Lane', 'Harrisburg', 'PA', '5757386038', '725@pitt.edu', 
'Ms', 'Anna', 'Freeman', '0965872640623165', to_date('07/25', 'MM/YY'), '803 Pine Road', 'Boston', 'MA', '9106312322', '726@pitt.edu', 
'Ms', 'Beth', 'Misuraca', '0704988111059537', to_date('05/22', 'MM/YY'), '194 Yuletide Road', 'Indianapolis', 'IA', '7997365471', '727@pitt.edu', 
